rank_position,anomaly_id,branch,source_repo,anomaly_type,descriptor_or_match,evidence_summary,reproducibility,status,mathematical_clarity,cross_branch_significance,rank_score,source_file
1,CTX-OPP-001,context-sensitive recoverability,ocp-research-program,same-descriptor opposite shared verdict groups,"(n,k,m,rank_stack,budget) fixed",groups=23; families_with_local_exact_global_fail=506,high (generated catalog),PROVED ON SUPPORTED FAMILY,high,high,9.8,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/context_sensitive_recoverability/multicontext_anomaly_catalog.csv
2,CTX-AUG-001,context-sensitive recoverability,ocp-research-program,positive shared augmentation threshold,"conditioned exactness true, invariant exactness false",threshold_rows=1306; flips_1_to_0=94,high (generated threshold catalog),PROVED ON SUPPORTED FAMILY / VALIDATED fragility,high,high,9.6,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/context_sensitive_recoverability/augmentation_threshold_catalog.csv
3,OCP-CX-RANK-001,OCP / recoverability core,ocp-research-program,same-rank opposite-verdict,"(n,r,k)=(3,1,1)",rowspace_residual exact=0.0 fail=1.0; collision_gap exact=0.0 fail=2.0,high,VALIDATED,high,high,9.4,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/rank_only_classifier_witnesses.csv
4,CFD-GEO-001,CFD / bounded-domain projection,cfd-research-program,"same sensor count and rank, opposite recoverability","sensor_count=2, sensor_rank=2",aligned_exact=True vs misaligned_exact=False; misaligned_min_aug=1,high,PROVED ON SUPPORTED FAMILY,high,high,9.1,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/sensor_geometry_cases.csv
5,OCP-CX-BUDGET-001,OCP / recoverability core,ocp-research-program,same-budget opposite-verdict,"(n,r,k,c)=(3,1,1,1.0)",exact_count=1 fail_count=2,high,VALIDATED,high,high,9.0,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/candidate_library_budget_witnesses.csv
6,OCP-CX-FAMILY-001,OCP / recoverability core,ocp-research-program,exact-on-small fail-on-large,small_dim=2 large_dim=3,small_exact=True large_exact=False lower_bound=1.0,high,VALIDATED,high,high,9.0,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/family_enlargement_false_positive.csv
7,OCP-CX-MISMATCH-001,OCP / recoverability core,ocp-research-program,mismatched-decoder instability,beta_true=0.5 beta_ref=1.0,distance=0.316227766016838 formula=0.4472135954999579 brute=0.44721359549995804,high,VALIDATED,high,high,9.0,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/unified-recoverability/canonical_model_mismatch.csv
8,SOL-REC-001,soliton geometry / nonlinear-wave recoverability,soliton-geometry-research,same observation dimension opposite non-identifiability verdict,obs_dim=4,good=local_complex_2 true_nonident_pairs=0 vs bad=local_magnitude_4 true_nonident_pairs=145152,high,PROVED ON SUPPORTED FAMILY,high,high,9.0,/Users/stevenreid/Documents/New project/repos/soliton-geometry-research/data/generated/recoverability/same_count_opposite_verdict.json
9,TSIT-A002,TSIT / target-specific design,topological-adam,d_optimal_failure,same sensor budget and pool,D-optimal choice maximizes Fisher logdet but fails target recovery.,high,VALIDATED / EMPIRICAL ONLY,high,high,8.9,/Users/stevenreid/Documents/New project/repos/topological-adam/data/generated/tsit/tsit_anomaly_catalog.csv
10,CFD-ROM-001,CFD / bounded-domain projection,cfd-research-program,energy capture high but branch-sensitive target fails,rank-1 vs rank-2 truncation,"rank1_energy=0.996069, rank1_sign_acc=0.5; rank2_sign_acc=1.0",high,VALIDATED / EMPIRICAL ONLY,medium,high,8.8,/Users/stevenreid/Documents/New project/repos/cfd-research-program/data/generated/benchmarks/reduced_order_rank_rows.csv
11,TSIT-A001,TSIT / target-specific design,topological-adam,same_capacity_opposite_recoverability,"same rank, same m, same capacity_proxy",Capacity and rank are identical; target alignment differs.,high,VALIDATED / EMPIRICAL ONLY,high,high,8.4,/Users/stevenreid/Documents/New project/repos/topological-adam/data/generated/tsit/tsit_anomaly_catalog.csv
12,TSIT-A003,TSIT / target-specific design,topological-adam,multi_terminal_allocation_split,same total budget,Allocation geometry controls recoverability under equal total budget.,high,VALIDATED / EMPIRICAL ONLY,high,high,8.4,/Users/stevenreid/Documents/New project/repos/topological-adam/data/generated/tsit/tsit_anomaly_catalog.csv
13,IND-restricted_linear_same_rank_fail_n5_r2_k2,indistinguishability,ocp-research-program,rank_predicts_success_but_dls_high,rank/descriptor mismatch with DLS,"rank=2.0, target_rank=2.0, DLS=0.692",high,VALIDATED / EMPIRICAL ONLY,medium,medium,8.2,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/indistinguishability/indistinguishability_anomalies.csv
14,IND-bounded_cfd_divergence_only_bounded_observation,indistinguishability,ocp-research-program,rank_predicts_success_but_dls_high,rank/descriptor mismatch with DLS,"rank=2.0, target_rank=2.0, DLS=1.000",high,VALIDATED / EMPIRICAL ONLY,medium,medium,8.2,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/indistinguishability/indistinguishability_anomalies.csv
15,MHD-REC-001,MHD closure / obstruction,mhd-toolkit,sheet thinning sharply concentrates closure defect,"eps fixed, delta decreases","delta 0.2->0.025, max_abs_residual 0.104->0.800, localization 8.15->288.52",high,VALIDATED / EMPIRICAL ONLY,medium,medium,8.0,/Users/stevenreid/Documents/New project/mhd-toolkit/data/generated/expansion/reconnection_sheet_scaling.csv
16,SOL-A-MI-EXTREME,soliton geometry / nonlinear-wave recoverability,soliton-geometry-research,mi_extreme_regime,cross-system discovery metrics,A substantial portion of MI parameter settings enters persistent turbulent localization regimes.,high,VALIDATED,medium,medium,7.9,data/generated/discovery/modulation/mi_regime_map.csv
17,IND-periodic_modal_cutoff_2_low_mode_sum,indistinguishability,ocp-research-program,low_rank_low_dls,rank/descriptor mismatch with DLS,"rank=2.0, DLS=0.000",high,VALIDATED / EMPIRICAL ONLY,medium,medium,7.8,/Users/stevenreid/Documents/New project/repos/ocp-research-program/data/generated/indistinguishability/indistinguishability_anomalies.csv
18,RGE-TORCH-CTR-001,RGE / recursive-entropy PRNG ecosystem,torchrge256,counter-mode branch bias vs default path,"same package, alternative RNG path",Counter-mode path marked experimental with biased empirical moments in validation note.,medium,VALIDATED / EMPIRICAL ONLY,medium,medium,7.0,/Users/stevenreid/Documents/New project/repos/torchrge256/docs/validation/counter-mode-status.md
19,SOL-A-CGL-SELF-ORG,soliton geometry / nonlinear-wave recoverability,soliton-geometry-research,self_org_counterintuitive,cross-system discovery metrics,Random CGL initial states outperform perturbed coherent pulses on final coherence defect in tested regimes.,medium,ARTIFACT RISK,medium,medium,6.5,data/generated/discovery/cgl/cgl_seed_sweep_results.csv; data/generated/discovery/cgl/cgl_artifact_check_summary.csv
20,RGE-TEST-WARN-001,RGE / recursive-entropy PRNG ecosystem,rge256,runtime overflow warning under cycle/stat tests,numpy uint32 addition path,pytest showed runtime overflow warnings in rge256_ctr.py while tests still passed,medium,OPEN,low,low,5.8,/Users/stevenreid/Documents/New project/repos/rge256/tests/test_cycle.py
21,SDS-RGE-HOLO-001,SDS / thermodynamic / black-hole exploratory,topological-adam,high-claim exploratory extraction not replicated in canonical test harness,docx/txt extracted theory bundle,Holography/black-hole/AdS claims appear in extracted discovery text but not in promoted theorem-test pipeline.,low,OPEN,low,medium,4.9,/Users/stevenreid/Documents/New project/repos/topological-adam/discovery/extracted/RGE_Physical_Laws_2026.txt
