branch,decision,current_strength,main_risk,next_verification_step,promotion_gate,public_position
OCP core recoverability anti-classifier spine,PROMOTE / PRIORITIZE,Highest theorem/no-go maturity,Overgeneralized language beyond supported families,Finalize publication-grade theorem/no-go statement set,Complete scope-clean theorem manuscript + reproducible witness appendix,Canonical core
Context-sensitive recoverability,DEEPEN,Strong scoped package with additive split structure,Augmentation law currently conditional,Prove necessary/sufficient shared-decoder and augmentation criteria,Close threshold theorem gap under explicit admissibility class,Near-core conditional package
Indistinguishability diagnostics lane,KEEP AS SUPPORTING LAYER,Useful anomaly interpretation and triage,Metric inflation into theorem claims,Retain diagnostics-only labeling and monitor predictive deltas,Show theorem-level incremental power before promotion,Adjacent diagnostic layer
TSIT target-specific design lane,KEEP AS SUPPORTING LAYER,Practical target-aware design package,High prior-art overlap and reduction risk,Expand application benchmarks with strict non-foundational wording,Independent theorem gain beyond OCP core,Adjacent application layer
CFD bounded-domain projection/reconstruction,DEEPEN,Strong finite-family theorem/counterexample base,Scope creep to unsupported continuous claims,Extend finite catalogs and add noise-stability regimes,Stable bounded-family extension with clear assumptions,Strong supporting theorem branch
MHD closure/obstruction,PROMOTE / PRIORITIZE,One of strongest non-OCP theorem lanes,Universalized physics narrative risk,Extend restricted mixed/toroidal survivor theorems,New restricted theorem extension + maintained obstruction boundary,Co-equal theorem lane
Soliton formal recoverability lane,DEEPEN,Validated formal no-go and opposite-verdict package,Contamination from weaker superiority claims,Keep formal and superiority lanes explicitly split,Additional formal theorem extension with artifact controls,Companion formal lane
Soliton self-organization superiority lane,FREEZE,Exploratory only,Artifact-risk from benchmark setup sensitivity,Harden benchmark validity before any claim revival,Independent robustness evidence across setups,Exploratory frozen
RGE ecosystem (rge256/numpy/torch/app),KEEP AS SUPPORTING LAYER,Useful engineering + reproducibility scaffolding,Theorem claims can overstep evidence,Maintain validation-focused role and add missing torch tests,Canonical theorem hooks and full test maturity,Engineering support layer
TorchRGE counter-mode branch,FREEZE,Interesting exploratory behavior,Known bias concerns + missing mature tests,Stabilize test harness and bias diagnostics,Bias-resilient validation suite,Exploratory frozen
SDS optimizer branch,KEEP AS SUPPORTING LAYER,Stable experimental optimizer path,No clear theorem or dominant empirical edge,Maintain as optional benchmark path with conservative language,Consistent superiority under controlled benchmarks,Supporting benchmark lane
SDS/black-hole/thermodynamic extracted bundle,SPIN OFF,High-concept exploratory synthesis,Weak canonical theorem-test integration,Isolate into separate exploratory project with strict labels,Independent theorem/test harness in dedicated repo or sandbox,Non-canonical spin-off
Broad universal structure-formation narrative,KILL (for now),Ambitious synthesis attempt,Failed coherence/falsification pressure,Preserve only narrow scoped subpackages,New coherent theorem core beyond narrative synthesis,Not in canonical narrative
