result_rank,result_name,category,branch,status,novelty_status,evidence_level,proof_gap,next_action,recommendation,timeline_priority
1,Conditioned-vs-invariant exactness split,Theorem-grade candidate,Context-sensitive recoverability,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,Proof sketches + explicit witness families + regeneration scripts,General necessary/sufficient shared-decoder criterion not yet closed,Prove characterization under fixed admissibility class,PROMOTE once augmentation law tightens,P0
2,No rank-only / no budget-only exact classifier,No-go theorem package,OCP anti-classifier core,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,Large counterexample corpus + repeatable generation scripts,Scope extension to broader nonlinear families remains open,Write publication-grade theorem statements + minimal assumption set,PROMOTE / PRIORITIZE,P0
3,Geometry-sensitive same-rank opposite verdict in bounded CFD,Counterexample/anomaly theorem package,CFD bounded-domain branch,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,Finite exact witnesses + branch tests,Noisy robustness envelope not fully bounded,Add noise-stability bounds and expanded sensor catalogs,DEEPEN,P1
4,Variable-eta obstruction + mixed-lane factorization,No-go + restricted-positive theorem,MHD closure/obstruction branch,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,Symbolic derivations + benchmark checks + branch tests,Generalization beyond restricted annular/toroidal classes,Extend restricted theorem families before broader narrative,PROMOTE / PRIORITIZE,P1
5,TSIT D/A/E-optimal conflict with target recovery,Application-level design failure,TSIT adjacent lane,VALIDATED / EMPIRICAL ONLY,CLOSE PRIOR ART / REPACKAGED,Reproducible computational witnesses + sweeps,No theorem-grade independence from row-space core,Keep as target-specific design application lane,KEEP AS SUPPORTING LAYER,P2
6,Indistinguishability DLS diagnostics,Diagnostic layer,Indistinguishability lane,VALIDATED / EMPIRICAL ONLY,NEW PACKAGING / SYNTHESIS,Cross-family metrics and anomaly tagging,No theorem-grade predictive dominance over core quantities,Keep non-promoted and use as explanatory diagnostic,KEEP AS SUPPORTING LAYER,P3
7,Soliton same-count opposite-verdict formal recoverability lane,Counterexample/no-go extension,Soliton formal branch,PROVED ON SUPPORTED FAMILY,PLAUSIBLY DISTINCT,Regenerated witness families + tests,Bridge to broader PDE class still open,Continue formal lane and block superiority-hype lane,DEEPEN,P2
8,Context-sensitive shared augmentation threshold existence,Threshold theorem candidate,Context-sensitive recoverability,CONDITIONAL,PLAUSIBLY DISTINCT,Witness catalogs + threshold distributions,Closed-form/tight bound criteria unresolved,Derive r*=1 and lower-bound conditions under explicit admissibility,DEEPEN then PROMOTE,P0
9,Full-system falsification/status discipline architecture,Synthesis/process result,Cross-system governance,VALIDATED / EMPIRICAL ONLY,NEW PACKAGING / SYNTHESIS,Cross-branch status normalization + machine-readable artifacts,Not a theorem result; relies on upkeep discipline,Retain as control layer to prevent overpromotion,KEEP AS SUPPORTING LAYER,P2
10,TSIT alpha=1 independent novelty claim,Result to demote/kill,TSIT,DISPROVED,ALREADY KNOWN IN SUBSTANCE,Direct reduction to row-space inclusion in supported linear class,No independent theorem gain survives,Restrict alpha to reporting metric only,KILL novelty claim,P0
