stress_id,base_system_id,stress_type,stress_param,base_local_exact,base_invariant_exact,stressed_local_exact,stressed_invariant_exact,base_cid,stressed_cid,base_delta_free,stressed_delta_free,base_delta_c,stressed_delta_c,base_rowspace_residual,stressed_rowspace_residual,base_collision_gap,stressed_collision_gap,fragility_flag,repair_cost_increase,notes
str_0,inv_0,target_mismatch,6.324555320336759,1,1,0,0,1.5593618942426743e-13,10.425780678175284,0,1,0,1,4.0659725835184824e-14,3.720650763805686e-14,0.0,0.0,1,1,model-mismatch stress
str_1,inv_0,family_enlargement,1,1,1,0,0,1.5593618942426743e-13,52.94151757851489,0,3,0,3,4.0659725835184824e-14,3.127182675800433e-14,0.0,0.0,1,3,enlargement stress
str_2,inv_0,observation_noise,0.011287880340757039,1,1,0,0,1.5593618942426743e-13,0.2838433161455468,0,3,0,3,4.0659725835184824e-14,4.719514078914891e-14,0.0,0.0,1,3,noise stress
str_3,inv_1,target_mismatch,5.196152422706632,1,1,0,0,4.044931175230247e-14,6.023610002733238,0,1,0,1,3.1405774159525925e-14,3.6359804056473877e-14,0.0,0.0,1,1,model-mismatch stress
str_4,inv_1,family_enlargement,1,1,1,0,0,4.044931175230247e-14,21.164059072217785,0,2,0,2,3.1405774159525925e-14,2.1175885360748648e-14,0.0,0.0,1,2,enlargement stress
str_5,inv_1,observation_noise,0.009309244343713687,1,1,0,0,4.044931175230247e-14,0.1769898704993228,0,2,0,2,3.1405774159525925e-14,3.5269463278031085e-14,0.0,0.0,1,2,noise stress
str_6,inv_2,target_mismatch,6.0,1,1,0,0,2.0326482703839956e-14,6.9788878628968725,0,1,0,1,1.3396551394845248e-14,1.6931643698868478e-14,0.0,0.0,1,1,model-mismatch stress
str_7,inv_2,family_enlargement,1,1,1,0,0,2.0326482703839956e-14,17.369580608850118,0,2,0,2,1.3396551394845248e-14,1.4791249696992207e-14,0.0,0.0,1,2,enlargement stress
str_8,inv_2,observation_noise,0.003782918880475867,1,1,0,0,2.0326482703839956e-14,0.03968770104024968,0,2,0,2,1.3396551394845248e-14,1.521433624645502e-14,0.0,0.0,1,2,noise stress
str_9,inv_3,target_mismatch,2.86253208726228,1,1,0,0,2.715511106784476e-14,4.958051013434457,0,1,0,1,1.5965995300988394e-14,4.958051013434458,1.5965995300988394e-14,4.958051013434458,1,1,model-mismatch stress
str_10,inv_3,family_enlargement,1,1,1,0,0,2.715511106784476e-14,25.81765344826653,0,3,0,3,1.5965995300988394e-14,1.9762281696267292e-14,1.5965995300988394e-14,0.0,1,3,enlargement stress
str_11,inv_3,observation_noise,0.0040734344582186105,1,1,0,0,2.715511106784476e-14,0.053285838579440636,0,3,0,3,1.5965995300988394e-14,0.0026425523925112234,1.5965995300988394e-14,0.008909228965364778,1,3,noise stress
str_12,inv_4,target_mismatch,0.647380782323046,1,1,0,0,8.196905236120315e-14,1.1212964068272047,0,1,0,1,1.8297072484112797e-14,1.121296406827204,0.0,3.7693068269027687,1,1,model-mismatch stress
str_13,inv_4,family_enlargement,1,1,1,0,0,8.196905236120315e-14,24.159578447988235,0,3,0,3,1.8297072484112797e-14,2.045872120455643e-14,0.0,0.0,1,3,enlargement stress
str_14,inv_4,observation_noise,0.020546640173466583,1,1,0,0,8.196905236120315e-14,0.33219952091734767,0,3,0,3,1.8297072484112797e-14,5.236711467733805e-14,0.0,0.0,1,3,noise stress
str_15,inv_5,target_mismatch,4.242640687119285,1,1,0,0,6.748777200247693e-14,7.0314483265511365,0,1,0,1,1.0561950234666245e-13,9.965876644980779e-14,0.0,0.0,1,1,model-mismatch stress
str_16,inv_5,family_enlargement,1,1,1,0,0,6.748777200247693e-14,56.9363138796684,0,3,0,3,1.0561950234666245e-13,3.8619327737353474e-14,0.0,0.0,1,3,enlargement stress
str_17,inv_5,observation_noise,0.018768695606926174,1,1,0,0,6.748777200247693e-14,0.554812291032957,0,3,0,3,1.0561950234666245e-13,8.850754772374474e-14,0.0,0.0,1,3,noise stress
