source_path,description,relevance_score,status,content_type,recommended_destination
/Users/stevenreid/Documents/New project/mhd-toolkit/docs/divergence_control.md,High-value local summary of projection cleaning and GLM cleaning as concrete correction operators.,10,canonical,"exact math, operator construction, practical comparison",docs/mhd/ and docs/operators/
/Users/stevenreid/Documents/New project/mhd-toolkit/mhd_toolkit/divfree/projection.py,FFT-based projection-cleaning implementation; best exact continuous-operator anchor for OCP.,10,canonical,exact operator code,src/ocp/mhd.py and docs/operators/
/Users/stevenreid/Documents/New project/mhd-toolkit/mhd_toolkit/divfree/glm.py,Dedner-style GLM cleaner; useful asymptotic correction comparison to exact projection.,9,canonical,continuous-time asymptotic correction,docs/mhd/ and docs/control/
/Users/stevenreid/Documents/New project/mhd-toolkit/tests/test_divergence_cleaning.py,Empirical validation of projection and GLM divergence reduction.,8,canonical,"tests, experiments",tests/examples/ and docs/mhd/
/Users/stevenreid/Documents/sds-research-repo/docs/correction-gap/correction_gap_formalization.md,Prior theorem-schema / no-go development showing how broad unification can collapse to tautology if not category-specific.,9,canonical,"theorem material, no-go material",docs/impossibility-results/ and docs/novelty-and-limits/
/Users/stevenreid/Documents/sds-research-repo/docs/correction-gap/cross_domain_analysis.md,"Cross-system analogy layer; useful for provenance, but not promoted as theorem-level by itself.",6,partial,"analogy only, structural prompts",archive/raw-imports/ and docs/disproven-or-weak/
/Users/stevenreid/Documents/New project/repos/topological-adam/RGE_QEC_Fermat_Prime_2026.docx,Claude-generated QEC bridge memo; contains useful motivation but mixes speculative novelty claims with known QEC facts.,7,speculative,"QEC notes, analogy, partial theorem material",archive/raw-imports/ and docs/disproven-or-weak/
/Users/stevenreid/Documents/New project/repos/topological-adam/DISCOVERIES.md,Original discovery memo for MHD/optimizer bridge work; useful mainly as cautionary provenance.,4,superseded,"experiments, bridge claims, speculative extension",docs/disproven-or-weak/
/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/variable_resistivity_obstructions.md,Clean negative-result memo about where exact closure stops and perturbative correction must begin.,8,canonical,"no-go material, program boundary",docs/impossibility-results/ and docs/mhd/
/Users/stevenreid/Documents/New project/mhd-toolkit/docs/discoveries/non_bilinear_exact_families.md,Positive exact-family memo for MHD closure; secondary OCP relevance as an example of when correction becomes exact.,6,canonical,"exact math, discovery memo",docs/mhd/
/Users/stevenreid/Documents/rge-research-program/docs/overview/novelty-and-opportunity.md,"Useful caution on novelty inflation, failure-mode-first research design, and operator-language targets.",5,canonical,"program design, limits",docs/positioning/ and NOVELTY_AND_LIMITS.md
/Users/stevenreid/Documents/rge-research-program/docs/foundations/renormalization-and-coarse-graining.md,"Operator-language and scale-step framing; useful as a meta-level programmatic influence, not direct OCP theorem content.",4,partial,operator-language prompt,docs/internal-provenance/
