protected_variable,cutoff,predicted_min_cutoff,exact_recoverable,rank_observation,rank_protected,collision_max_protected_distance,mean_recovery_error,max_recovery_error
mode_1_coefficient,0,1,False,0,1,2.0,0.6,1.0
mode_1_coefficient,1,1,True,1,1,0.0,3.466410074142833e-16,6.661338147750939e-16
mode_1_coefficient,2,1,True,2,1,0.0,4.916649985150947e-16,9.992007221626409e-16
mode_1_coefficient,3,1,True,3,1,0.0,7.577148539935785e-16,1.9984014443252818e-15
modes_1_2_coefficients,0,2,False,0,2,2.8284271247461903,0.9371821313695092,1.4142135623730951
modes_1_2_coefficients,1,2,False,1,2,2.0,0.6,1.0
modes_1_2_coefficients,2,2,True,2,2,0.0,5.749146440059797e-16,1.1957467920563633e-15
modes_1_2_coefficients,3,2,True,3,2,0.0,7.961363712281213e-16,2.010699415441723e-15
full_modal_coefficients,0,3,False,0,3,3.4641016151377544,1.1797371716555027,1.7320508075688772
full_modal_coefficients,1,3,False,1,3,2.8284271247461903,0.9371821313695093,1.4142135623730951
full_modal_coefficients,2,3,False,2,3,2.0,0.6,1.0000000000000002
full_modal_coefficients,3,3,True,3,3,0.0,8.054349493765178e-16,2.0137621733714643e-15
