dataset,n_samples,n_codes,mixed_codes,nonreducible,witness_code,witness_i,witness_j,status
ocp_rank_witness,68,8,8,1,"[0, 0, 0, 0]",1,0,PROVED_RESTRICTED
information_real_system,162,54,22,1,"[1, 0, 0, 1]",24,10,PROVED_RESTRICTED
gravity_recoverability,220,27,21,1,"[0, 0, 1, 0]",0,2,PROVED_RESTRICTED
gravity_blackhole_only,54,13,10,1,"[0, 1, 0, 0]",0,2,PROVED_RESTRICTED
external_uci_wine_quality,6497,239,144,1,"[1, 0, 1, 3]",0,8,PROVED_RESTRICTED
external_uci_magic_gamma,19020,224,202,1,"[1, 3, 0, 2]",12752,0,PROVED_RESTRICTED
external_uci_ionosphere,351,93,21,1,"[1, 0, 0, 0]",1,191,PROVED_RESTRICTED
external_uci_spambase,4601,144,100,1,"[2, 1, 3, 2]",1950,0,PROVED_RESTRICTED
external_uci_sonar,208,39,23,1,"[1, 2, 1, 2]",0,165,PROVED_RESTRICTED
external_uci_wdbc,569,82,14,1,"[2, 3, 2, 3]",290,7,PROVED_RESTRICTED
