dataset,n_samples,baseline_IDELB,augmented_IDELB,CL_rel,status,independent_out_of_family
ocp_rank_witness,68,0.5,0.0,1.0,SURVIVES,0
information_real_system,162,0.17901234567901234,0.06172839506172839,0.6551724137931034,SURVIVES,1
gravity_recoverability,220,0.2863636363636364,0.16363636363636364,0.4285714285714286,SURVIVES,0
gravity_blackhole_only,54,0.25925925925925924,0.16666666666666666,0.35714285714285715,SURVIVES,0
external_uci_wine_quality,6497,0.18547021702324148,0.16623056795444052,0.10373443983402478,SURVIVES,1
external_uci_magic_gamma,19020,0.2671398527865405,0.21729758149316508,0.1865774453847669,SURVIVES,1
external_uci_ionosphere,351,0.10541310541310542,0.06267806267806268,0.4054054054054054,SURVIVES,1
external_uci_spambase,4601,0.18648119973918714,0.13888285155401,0.25524475524475526,SURVIVES,1
external_uci_sonar,208,0.2403846153846154,0.15384615384615385,0.36,SURVIVES,1
external_uci_wdbc,569,0.05799648506151142,0.04569420035149385,0.21212121212121204,SURVIVES,1
